Date,NOK,TSLA,PEP,AMZN,GPS,HSBC
2019-03-05,6.159999847412109,55.30799865722656,116.02999877929688,1692.4300537109375,27.209999084472656,41.0
2019-03-06,6.099999904632568,55.24800109863281,116.66000366210938,1668.949951171875,26.579999923706055,40.970001220703125
2019-03-07,6.03000020980835,55.31800079345703,116.0999984741211,1625.949951171875,26.719999313354492,40.869998931884766
2019-03-08,6.070000171661377,56.827999114990234,115.2300033569336,1620.800048828125,25.93000030517578,40.869998931884766
2019-03-11,6.139999866485596,58.183998107910156,116.58999633789062,1670.6199951171875,26.299999237060547,41.0099983215332
2019-03-12,6.199999809265137,56.672000885009766,116.56999969482422,1673.0999755859375,25.969999313354492,41.06999969482422
2019-03-13,6.139999866485596,57.79199981689453,116.58000183105469,1690.81005859375,26.0,41.119998931884766
2019-03-14,6.21999979019165,57.992000579833984,115.5,1686.219970703125,25.520000457763672,41.13999938964844
2019-03-15,6.389999866485596,55.08599853515625,115.66000366210938,1712.3599853515625,25.290000915527344,41.40999984741211
2019-03-18,6.329999923706055,53.89799880981445,117.2699966430664,1742.1500244140625,25.559999465942383,41.529998779296875
2019-03-19,6.349999904632568,53.49399948120117,118.08999633789062,1761.8499755859375,25.700000762939453,41.380001068115234
2019-03-20,6.289999961853027,54.720001220703125,118.31999969482422,1797.27001953125,25.329999923706055,41.209999084472656
2019-03-21,6.260000228881836,54.80400085449219,119.44000244140625,1819.260009765625,25.1200008392334,41.06999969482422
2019-03-22,5.880000114440918,52.90599822998047,120.72000122070312,1764.77001953125,24.520000457763672,40.41999816894531
2019-03-25,5.869999885559082,52.08399963378906,120.8499984741211,1774.260009765625,24.809999465942383,40.43000030517578
2019-03-26,5.820000171661377,53.55400085449219,122.0199966430664,1783.760009765625,25.329999923706055,40.58000183105469
2019-03-27,5.820000171661377,54.965999603271484,121.88999938964844,1765.699951171875,25.989999771118164,40.650001525878906
2019-03-28,5.690000057220459,55.7239990234375,121.83999633789062,1773.4200439453125,26.110000610351562,40.5099983215332
